[2018-08-02 14:07:54,129] TRACE Controller 0 epoch 1 received response {error_code=0} for a request sent to broker mz-pned062.sigma.sbrf.ru:9092 (id: 0 rack: null) (state.change.logger)
[2018-08-02 14:08:36,632] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2018-08-02 14:08:55,111] TRACE Controller 0 epoch 1 changed partition [mytopic,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2018-08-02 14:08:55,117] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [mytopic,0] from NonExistentReplica to NewReplica (state.change.logger)
[2018-08-02 14:08:55,133] TRACE Controller 0 epoch 1 changed partition [mytopic,0] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2018-08-02 14:08:55,133] TRACE Controller 0 epoch 1 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition [mytopic,0] (state.change.logger)
[2018-08-02 14:08:55,136] TRACE Controller 0 epoch 1 sending UpdateMetadata request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition mytopic-0 (state.change.logger)
[2018-08-02 14:08:55,139] TRACE Broker 0 received LeaderAndIsr request PartitionState(controllerEpoch=1, leader=0, leaderEpoch=0, isr=[0], zkVersion=0, replicas=[0]) correlation id 1 from controller 0 epoch 1 for partition [mytopic,0] (state.change.logger)
[2018-08-02 14:08:55,141] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [mytopic,0] from NewReplica to OnlineReplica (state.change.logger)
[2018-08-02 14:08:55,149] TRACE Broker 0 handling LeaderAndIsr request correlationId 1 from controller 0 epoch 1 starting the become-leader transition for partition [mytopic,0] (state.change.logger)
[2018-08-02 14:08:55,212] TRACE Broker 0 stopped fetchers as part of become-leader request from controller 0 epoch 1 with correlation id 1 for partition [mytopic,0] (state.change.logger)
